name,taux_moyen_dispo,nb_mesures
BNF - Bibliothèque Nationale de France,185.71428571428572,1
Caumartin - Provence,168.1818181818182,1
Place Balard,154.54545454545453,1
Carrefour Pleyel,150.0,1
Madeleine Vionnet,144.11764705882354,1
Gare Saint-Lazare - Cour du Havre,126.66666666666666,1
Bercy - Villot,126.47058823529412,1
Place du Moulin de Javel,115.55555555555554,1
Westermeyer - Paul Vaillant-Couturier,112.00000000000001,1
Malesherbes - Place de la Madeleine,111.94029850746267,1
Quai des Célestins - Henri IV,107.14285714285714,1
Pierre Sarrazin - Saint-Michel,100.0,1
Place de Finlande,100.0,1
Place de l'Hôtel de Ville,100.0,1
Artois - Berri,100.0,1
